
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 97: New best loss = 0.05163584649562836
Iteration 98: New best loss = 0.05145450681447983
Iteration 99: New best loss = 0.05118636041879654
Iteration 100: New best loss = 0.050849393010139465
Iteration 100: Best current loss = 0.050849393010139465
Search completed after 100 iterations.
Best loss found: 0.050849393010139465
Total training time: 83.9603 seconds

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (128, 64) ---

Iteration 2: New best loss = 0.35631802678108215
Iteration 3: New best loss = 0.32608088850975037
Iteration 4: New best loss = 0.3015535771846771
Iteration 5: New best loss = 0.283560186624527
Iteration 6: New best loss = 0.27192673087120056
Iteration 7: New best loss = 0.25135287642478943
Iteration 8: New best loss = 0.24368852376937866
Iteration 9: New best loss = 0.22724290192127228
Iteration 10: New best loss = 0.21679948270320892
Iteration 11: New best loss = 0.20886237919330597
Iteration 12: New best loss = 0.2040574997663498
Iteration 13: New best loss = 0.1998775601387024
Iteration 14: New best loss = 0.19509848952293396
Iteration 15: New best loss = 0.19123852252960205
Iteration 16: New best loss = 0.1878661960363388
Iteration 17: New best loss = 0.1853211224079132
Iteration 18: New best loss = 0.18340331315994263
Iteration 19: New best loss = 0.18152755498886108
Iteration 20: New best loss = 0.17950569093227386
Iteration 21: New best loss = 0.17780984938144684
Iteration 22: New best loss = 0.17644254863262177
Iteration 23: New best loss = 0.17543606460094452
Iteration 24: New best loss = 0.17440800368785858
Iteration 25: New best loss = 0.17296595871448517
Iteration 26: New best loss = 0.17167820036411285
Iteration 27: New best loss = 0.17067337036132812
Iteration 28: New best loss = 0.16877655684947968
Iteration 29: New best loss = 0.16728006303310394
Iteration 30: New best loss = 0.16573628783226013
Iteration 31: New best loss = 0.16324123740196228
Iteration 32: New best loss = 0.16203854978084564
Iteration 33: New best loss = 0.16156049072742462
Iteration 34: New best loss = 0.1608029007911682
Iteration 35: New best loss = 0.1585788130760193
Iteration 36: New best loss = 0.15808676183223724
Iteration 37: New best loss = 0.15755420923233032
Iteration 38: New best loss = 0.1566787213087082
Iteration 39: New best loss = 0.15572278201580048
Iteration 40: New best loss = 0.15439075231552124
Iteration 41: New best loss = 0.15335074067115784
Iteration 42: New best loss = 0.15181121230125427
Iteration 43: New best loss = 0.15108785033226013
Iteration 44: New best loss = 0.15014828741550446
Iteration 45: New best loss = 0.14964832365512848
Iteration 46: New best loss = 0.14918328821659088
Iteration 47: New best loss = 0.14876504242420197
Iteration 48: New best loss = 0.14841629564762115
Iteration 49: New best loss = 0.14808107912540436
Iteration 50: New best loss = 0.14761514961719513
Iteration 51: New best loss = 0.14733940362930298
Iteration 52: New best loss = 0.14709340035915375
Iteration 53: New best loss = 0.1467641294002533
Iteration 54: New best loss = 0.1463034749031067
Iteration 55: New best loss = 0.14588186144828796
Iteration 56: New best loss = 0.1455605924129486
Iteration 57: New best loss = 0.1453096568584442
Iteration 58: New best loss = 0.14513187110424042
Iteration 59: New best loss = 0.14490839838981628
Iteration 60: New best loss = 0.14441539347171783
Iteration 61: New best loss = 0.14416168630123138
Iteration 62: New best loss = 0.1439027637243271
Iteration 63: New best loss = 0.14375868439674377
Iteration 64: New best loss = 0.14362847805023193
Iteration 65: New best loss = 0.14351016283035278
